	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Franz_Müntefering>	<infobox/en/nationality>	"Germany"
	<Franz_Müntefering>	<infobox/en/occupation>	<wordnet_politician_110451263>
	<Franz_Müntefering>	<infobox/en/office>	<Social_Democratic_Party_of_Germany>
	<Franz_Müntefering>	<infobox/en/office>	"Social Democratic Party of Germany"
	<Franz_Müntefering>	<infobox/en/office>	"Minister of Labour and Social Affairs"
	<Franz_Müntefering>	<infobox/en/office>	<Vice-Chancellor_of_Germany>
	<Franz_Müntefering>	<infobox/en/office>	"Vice-Chancellor of Germany"
	<Franz_Müntefering>	<infobox/en/party>	<Social_Democratic_Party_of_Germany>
	<Franz_Müntefering>	<infobox/en/party>	"SPD"
	<Franz_Müntefering>	<infobox/en/predecessor>	<Eduard_Oswald>
	<Franz_Müntefering>	<infobox/en/predecessor>	"Eduard Oswald"
	<Franz_Müntefering>	<infobox/en/predecessor>	<Gerhard_Schröder>
	<Franz_Müntefering>	<infobox/en/predecessor>	"Gerhard Schröder"
	<Franz_Müntefering>	<infobox/en/predecessor>	<Joschka_Fischer>
	<Franz_Müntefering>	<infobox/en/predecessor>	"Joschka Fischer"
	<Franz_Müntefering>	<infobox/en/predecessor>	<Kurt_Beck>
	<Franz_Müntefering>	<infobox/en/predecessor>	"Kurt Beck"
	<Franz_Müntefering>	<infobox/en/predecessor>	<Wolfgang_Clement>
	<Franz_Müntefering>	<infobox/en/predecessor>	"Wolfgang Clement"
	<Franz_Müntefering>	<infobox/en/relations>	<Michelle_Schumann>
	<Franz_Müntefering>	<infobox/en/relations>	"Michelle Schumann"
	<Franz_Müntefering>	<infobox/en/religion>	<Roman_Catholicism>
	<Franz_Müntefering>	<infobox/en/religion>	"Roman Catholicism"
	<Franz_Müntefering>	<infobox/en/successor>	<Frank-Walter_Steinmeier>
	<Franz_Müntefering>	<infobox/en/successor>	"Frank-Walter Steinmeier"
	<Franz_Müntefering>	<infobox/en/successor>	<Matthias_Platzeck>
	<Franz_Müntefering>	<infobox/en/successor>	"Matthias Platzeck"
	<Franz_Müntefering>	<infobox/en/successor>	<Olaf_Scholz>
	<Franz_Müntefering>	<infobox/en/successor>	"Olaf Scholz"
	<Franz_Müntefering>	<infobox/en/successor>	<Reinhard_Klimmt>
	<Franz_Müntefering>	<infobox/en/successor>	"Reinhard Klimmt"
	<Franz_Müntefering>	<infobox/en/successor>	<Sigmar_Gabriel>
	<Franz_Müntefering>	<infobox/en/successor>	"Sigmar Gabriel"
	<Franz_Müntefering>	<infobox/en/termend>	"13"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"2009"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"13 November 2009"
	<Franz_Müntefering>	<infobox/en/termend>	"2009-11-13"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termend>	"15"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"2005"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"15 November 2005"
	<Franz_Müntefering>	<infobox/en/termend>	"2005-11-15"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termend>	"21"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"2007"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"21 November 2007"
	<Franz_Müntefering>	<infobox/en/termend>	"2007-11-21"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termend>	"29"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"1999"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termend>	"29 September 1999"
	<Franz_Müntefering>	<infobox/en/termend>	"1999-09-29"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termstart>	"18"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"18 October 2008"
	<Franz_Müntefering>	<infobox/en/termstart>	"2008-10-18"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termstart>	"21"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"2004"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"21 March 2004"
	<Franz_Müntefering>	<infobox/en/termstart>	"2004-03-21"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termstart>	"22"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"2005"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"22 November 2005"
	<Franz_Müntefering>	<infobox/en/termstart>	"2005-11-22"^^xsd:date
	<Franz_Müntefering>	<infobox/en/termstart>	"27"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"1998"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/termstart>	"27 October 1998"
	<Franz_Müntefering>	<infobox/en/termstart>	"1998-10-27"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/almamater>	<University_of_Göttingen>
	<Gerhard_Schröder>	<infobox/en/almamater>	"University of Göttingen"
	<Gerhard_Schröder>	<infobox/en/birthdate>	"1944"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/birthdate>	"4"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/birthdate>	"7"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/birthdate>	"1944-04-07"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/birthname>	<Gerhard_Fritz_Kurt_Schröder>
	<Gerhard_Schröder>	<infobox/en/birthname>	"Gerhard Fritz Kurt Schröder"
	<Gerhard_Schröder>	<infobox/en/birthplace>	<Mossenberg-Wöhren>
	<Gerhard_Schröder>	<infobox/en/birthplace>	<North_Rhine-Westphalia>
	<Gerhard_Schröder>	<infobox/en/birthplace>	"Mossenberg-Wöhren"
	<Gerhard_Schröder>	<infobox/en/birthplace>	"North Rhine-Westphalia"
	<Gerhard_Schröder>	<infobox/en/deputy>	<Joschka_Fischer>
	<Gerhard_Schröder>	<infobox/en/deputy>	"Joschka Fischer"
	<Gerhard_Schröder>	<infobox/en/image>	"2003"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/image>	"2003-##-##"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/office>	<Social_Democratic_Party_of_Germany>
	<Gerhard_Schröder>	<infobox/en/office>	"Social Democratic Party of Germany"
	<Gerhard_Schröder>	<infobox/en/office>	<Chancellor_of_Germany_(Federal_Republic_of_Germany)>
	<Gerhard_Schröder>	<infobox/en/office>	"Chancellor of Germany"
	<Gerhard_Schröder>	<infobox/en/office>	<Premier_of_Lower_Saxony>
	<Gerhard_Schröder>	<infobox/en/office>	"Premier of Lower Saxony"
	<Gerhard_Schröder>	<infobox/en/order>	<President_of_the_German_Bundesrat>
	<Gerhard_Schröder>	<infobox/en/order>	"President of the German Bundesrat"
	<Gerhard_Schröder>	<infobox/en/party>	<Social_Democratic_Party_of_Germany>
	<Gerhard_Schröder>	<infobox/en/party>	"SPD"
	<Gerhard_Schröder>	<infobox/en/predecessor>	<Ernst_Albrecht_(politician)>
	<Gerhard_Schröder>	<infobox/en/predecessor>	"Ernst Albrecht"
	<Gerhard_Schröder>	<infobox/en/predecessor>	<Erwin_Teufel>
	<Gerhard_Schröder>	<infobox/en/predecessor>	"Erwin Teufel"
	<Gerhard_Schröder>	<infobox/en/predecessor>	<Helmut_Kohl>
	<Gerhard_Schröder>	<infobox/en/predecessor>	"Helmut Kohl"
	<Gerhard_Schröder>	<infobox/en/predecessor>	<Oskar_Lafontaine>
	<Gerhard_Schröder>	<infobox/en/predecessor>	"Oskar Lafontaine"
	<Gerhard_Schröder>	<infobox/en/president>	<Roman_Herzog>
	<Gerhard_Schröder>	<infobox/en/president>	<Johannes_Rau>
	<Gerhard_Schröder>	<infobox/en/president>	<Horst_Köhler>
	<Gerhard_Schröder>	<infobox/en/president>	"Roman Herzog"
	<Gerhard_Schröder>	<infobox/en/president>	"Johannes Rau"
	<Gerhard_Schröder>	<infobox/en/president>	"Horst Köhler"
	<Gerhard_Schröder>	<infobox/en/profession>	<wordnet_lawyer_110249950>
	<Gerhard_Schröder>	<infobox/en/profession>	<Lawyer>
	<Gerhard_Schröder>	<infobox/en/profession>	"Lawyer"
	<Gerhard_Schröder>	<infobox/en/religion>	<Evangelical_Church_in_Germany>
	<Gerhard_Schröder>	<infobox/en/religion>	"Lutheran"
	<Gerhard_Schröder>	<infobox/en/spouse>	<Doris_Schröder-Köpf>
	<Gerhard_Schröder>	<infobox/en/spouse>	"Eva Schubach"
	<Gerhard_Schröder>	<infobox/en/spouse>	"Anne Taschenmacher"
	<Gerhard_Schröder>	<infobox/en/spouse>	"Hiltrud Hampel"
	<Gerhard_Schröder>	<infobox/en/spouse>	"Doris Köpf"
	<Gerhard_Schröder>	<infobox/en/successor>	<Angela_Merkel>
	<Gerhard_Schröder>	<infobox/en/successor>	"Angela Merkel"
	<Gerhard_Schröder>	<infobox/en/successor>	<Franz_Müntefering>
	<Gerhard_Schröder>	<infobox/en/successor>	"Franz Müntefering"
	<Gerhard_Schröder>	<infobox/en/successor>	<Gerhard_Glogowski>
	<Gerhard_Schröder>	<infobox/en/successor>	"Gerhard Glogowski"
	<Gerhard_Schröder>	<infobox/en/successor>	<Hans_Eichel>
	<Gerhard_Schröder>	<infobox/en/successor>	"Hans Eichel"
	<Gerhard_Schröder>	<infobox/en/termend>	"1998"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"1998"
	<Gerhard_Schröder>	<infobox/en/termend>	"1998-##-##"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termend>	"21"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"2004"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"21 March 2004"
	<Gerhard_Schröder>	<infobox/en/termend>	"2004-03-21"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termend>	"22"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"2005"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"22 November 2005"
	<Gerhard_Schröder>	<infobox/en/termend>	"2005-11-22"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termend>	"27"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"1998"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termend>	"27 October 1998"
	<Gerhard_Schröder>	<infobox/en/termend>	"1998-10-27"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termstart>	"12"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"1999"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"12 March 1999"
	<Gerhard_Schröder>	<infobox/en/termstart>	"1999-03-12"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termstart>	"1997"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"1997"
	<Gerhard_Schröder>	<infobox/en/termstart>	"1997-##-##"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termstart>	"21"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"1990"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"21 June 1990"
	<Gerhard_Schröder>	<infobox/en/termstart>	"1990-06-21"^^xsd:date
	<Gerhard_Schröder>	<infobox/en/termstart>	"27"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"1998"^^xsd:integer
	<Gerhard_Schröder>	<infobox/en/termstart>	"27 October 1998"
	<Gerhard_Schröder>	<infobox/en/termstart>	"1998-10-27"^^xsd:date
	<Germany>	<infobox/en/accessioneudate>	"25"^^xsd:integer
	<Germany>	<infobox/en/accessioneudate>	"1957"^^xsd:integer
	<Germany>	<infobox/en/accessioneudate>	"25 March 1957"
	<Germany>	<infobox/en/accessioneudate>	"1957-03-25"^^xsd:date
	<Germany>	<infobox/en/altsportcode>	"GER"
	<Germany>	<infobox/en/areakm>	"357021"^^xsd:integer
	<Germany>	<infobox/en/areakm>	"357-##-##"^^xsd:date
	<Germany>	<infobox/en/areamagnitude>	"1"^^xsd:integer
	<Germany>	<infobox/en/areamagnitude>	"11"^^xsd:integer
	<Germany>	<infobox/en/areamagnitude>	"1 E11"
	<Germany>	<infobox/en/arearank>	"63"^^xsd:integer
	<Germany>	<infobox/en/arearank>	"63rd"
	<Germany>	<infobox/en/areasqmi>	"137847"^^xsd:integer
	<Germany>	<infobox/en/areasqmi>	"137-##-##"^^xsd:date
	<Germany>	<infobox/en/areasqmi>	"847-##-##"^^xsd:date
	<Germany>	<infobox/en/callingcode>	<Telephone_numbers_in_Germany>
	<Germany>	<infobox/en/callingcode>	"49"^^xsd:integer
	<Germany>	<infobox/en/callingcode>	"49"
	<Germany>	<infobox/en/capital>	<Berlin>
	<Germany>	<infobox/en/capital>	"Berlin"
	<Germany>	<infobox/en/cctld>	<.de>
	<Germany>	<infobox/en/cctld>	"3"^^xsd:integer
	<Germany>	<infobox/en/cctld>	".de"
	<Germany>	<infobox/en/commonname>	"Germany"
	<Germany>	<infobox/en/conventionallongname>	<Federal_Republic_of_Germany>
	<Germany>	<infobox/en/conventionallongname>	"Federal Republic of Germany"
	<Germany>	<infobox/en/currency>	<Euro>
	<Germany>	<infobox/en/currency>	<Euro_sign>
	<Germany>	<infobox/en/currency>	"2"^^xsd:integer
	<Germany>	<infobox/en/currency>	"2002"^^xsd:integer
	<Germany>	<infobox/en/currency>	"Euro"
	<Germany>	<infobox/en/currency>	"2002-##-##"^^xsd:date
	<Germany>	<infobox/en/currencycode>	"EUR"
	<Germany>	<infobox/en/demonym>	<Germans>
	<Germany>	<infobox/en/demonym>	"German"
	<Germany>	<infobox/en/driveson>	<wordnet_right_105174653>
	<Germany>	<infobox/en/driveson>	"right"
	<Germany>	<infobox/en/establisheddate>	"18"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"1871"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"18 January 1871"
	<Germany>	<infobox/en/establisheddate>	"1871-01-18"^^xsd:date
	<Germany>	<infobox/en/establisheddate>	"2"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"962"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"2 February 962"
	<Germany>	<infobox/en/establisheddate>	"962-02-02"^^xsd:date
	<Germany>	<infobox/en/establisheddate>	"23"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"1949"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"23 May 1949"
	<Germany>	<infobox/en/establisheddate>	"1949-05-23"^^xsd:date
	<Germany>	<infobox/en/establisheddate>	"3"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"1990"^^xsd:integer
	<Germany>	<infobox/en/establisheddate>	"3 October 1990"
	<Germany>	<infobox/en/establisheddate>	"1990-10-03"^^xsd:date
	<Germany>	<infobox/en/establishedevent>	<German_reunification>
	<Germany>	<infobox/en/establishedevent>	"Reunification"
	<Germany>	<infobox/en/establishedevent>	<History_of_Germany>
	<Germany>	<infobox/en/establishedevent>	"Federal Republic"
	<Germany>	<infobox/en/establishedevent>	<Holy_Roman_Empire>
	<Germany>	<infobox/en/establishedevent>	"Holy Roman Empire"
	<Germany>	<infobox/en/establishedevent>	<Unification_of_Germany>
	<Germany>	<infobox/en/establishedevent>	"Unification"
	<Germany>	<infobox/en/euseats>	"99"^^xsd:integer
	<Germany>	<infobox/en/euseats>	"99"
	<Germany>	<infobox/en/footnote>	<Low_German>
	<Germany>	<infobox/en/footnote>	<Sorbian_languages>
	<Germany>	<infobox/en/footnote>	<Romani_language>
	<Germany>	<infobox/en/footnote>	<Frisian_languages>
	<Germany>	<infobox/en/footnote>	<European_Charter_for_Regional_or_Minority_Languages>
	<Germany>	<infobox/en/footnote>	"1"^^xsd:integer
	<Germany>	<infobox/en/footnote>	"Low German"
	<Germany>	<infobox/en/footnote>	"Sorbian"
	<Germany>	<infobox/en/footnote>	"Romany"
	<Germany>	<infobox/en/footnote>	"Frisian"
	<Germany>	<infobox/en/footnote>	"ECRML"
	<Germany>	<infobox/en/footnote>	<Deutsche_Mark>
	<Germany>	<infobox/en/footnote>	"2"^^xsd:integer
	<Germany>	<infobox/en/footnote>	"2002"^^xsd:integer
	<Germany>	<infobox/en/footnote>	"Deutsche Mark"
	<Germany>	<infobox/en/footnote>	"2002-##-##"^^xsd:date
	<Germany>	<infobox/en/footnote>	<.eu>
	<Germany>	<infobox/en/footnote>	<European_Union>
	<Germany>	<infobox/en/footnote>	"3"^^xsd:integer
	<Germany>	<infobox/en/footnote>	".eu"
	<Germany>	<infobox/en/footnote>	"European Union"
	<Germany>	<infobox/en/gdpnominal>	"3628000000000"^^<dollar>
	<Germany>	<infobox/en/gdpnominal>	"628-##-##"^^xsd:date
	<Germany>	<infobox/en/gdpnominalpercapita>	"44555"^^<dollar>
	<Germany>	<infobox/en/gdpnominalpercapita>	"555-##-##"^^xsd:date
	<Germany>	<infobox/en/gdpnominalpercapitarank>	"19"^^xsd:integer
	<Germany>	<infobox/en/gdpnominalpercapitarank>	"19th"
	<Germany>	<infobox/en/gdpnominalrank>	"4"^^xsd:integer
	<Germany>	<infobox/en/gdpnominalrank>	"4th"
	<Germany>	<infobox/en/gdpnominalyear>	"2011"^^xsd:integer
	<Germany>	<infobox/en/gdpnominalyear>	"2011"
	<Germany>	<infobox/en/gdpnominalyear>	"2011-##-##"^^xsd:date
	<Germany>	<infobox/en/gdpppp>	"3089000000000"^^<dollar>
	<Germany>	<infobox/en/gdpppppercapita>	"37935"^^<dollar>
	<Germany>	<infobox/en/gdpppppercapita>	"935-##-##"^^xsd:date
	<Germany>	<infobox/en/gdpppppercapitarank>	"18"^^xsd:integer
	<Germany>	<infobox/en/gdpppppercapitarank>	"18th"
	<Germany>	<infobox/en/gdpppprank>	"5"^^xsd:integer
	<Germany>	<infobox/en/gdpppprank>	"5th"
	<Germany>	<infobox/en/gdppppyear>	"2011"^^xsd:integer
	<Germany>	<infobox/en/gdppppyear>	"2011"
	<Germany>	<infobox/en/gdppppyear>	"2011-##-##"^^xsd:date
	<Germany>	<infobox/en/gini>	"27"^^xsd:integer
	<Germany>	<infobox/en/gini>	"27"
	<Germany>	<infobox/en/ginicategory>	"low"
	<Germany>	<infobox/en/giniyear>	"2006"^^xsd:integer
	<Germany>	<infobox/en/giniyear>	"2006"
	<Germany>	<infobox/en/giniyear>	"2006-##-##"^^xsd:date
	<Germany>	<infobox/en/governmenttype>	<constitutional_republic>
	<Germany>	<infobox/en/governmenttype>	"Federal"
	<Germany>	<infobox/en/governmenttype>	"parliamentary"
	<Germany>	<infobox/en/governmenttype>	"constitutional republic"
	<Germany>	<infobox/en/hdi>	"0.905"^^xsd:decimal
	<Germany>	<infobox/en/hdi>	"905-##-##"^^xsd:date
	<Germany>	<infobox/en/hdirank>	"9"^^xsd:integer
	<Germany>	<infobox/en/hdirank>	"9th"
	<Germany>	<infobox/en/hdiyear>	"2011"^^xsd:integer
	<Germany>	<infobox/en/hdiyear>	"2011"
	<Germany>	<infobox/en/hdiyear>	"2011-##-##"^^xsd:date
	<Germany>	<infobox/en/isoalpha>	"DE"
	<Germany>	<infobox/en/isoalpha>	"DEU"
	<Germany>	<infobox/en/largestcity>	<wordnet_capital_113354420>
	<Germany>	<infobox/en/largestcity>	"capital"
	<Germany>	<infobox/en/latd>	"52"^^xsd:integer
	<Germany>	<infobox/en/latd>	"52"
	<Germany>	<infobox/en/latm>	"31"^^xsd:integer
	<Germany>	<infobox/en/latm>	"31"
	<Germany>	<infobox/en/leadername>	<Joachim_Gauck>
	<Germany>	<infobox/en/leadername>	"Joachim Gauck"
	<Germany>	<infobox/en/leadername>	<Angela_Merkel>
	<Germany>	<infobox/en/leadername>	"Angela Merkel"
	<Germany>	<infobox/en/leadername>	<Horst_Seehofer>
	<Germany>	<infobox/en/leadername>	"Horst Seehofer"
	<Germany>	<infobox/en/leadername>	<Norbert_Lammert>
	<Germany>	<infobox/en/leadername>	"Norbert Lammert"
	<Germany>	<infobox/en/leadertitle>	<President_of_Germany>
	<Germany>	<infobox/en/leadertitle>	"President-elect"
	<Germany>	<infobox/en/leadertitle>	<Chancellor_of_Germany_(Federal_Republic_of_Germany)>
	<Germany>	<infobox/en/leadertitle>	"Chancellor"
	<Germany>	<infobox/en/leadertitle>	<President_of_the_Bundesrat>
	<Germany>	<infobox/en/leadertitle>	"President of the Bundesrat"
	<Germany>	<infobox/en/leadertitle>	<President_of_the_Bundestag>
	<Germany>	<infobox/en/leadertitle>	"President of the Bundestag"
	<Germany>	<infobox/en/longd>	"13"^^xsd:integer
	<Germany>	<infobox/en/longd>	"13"
	<Germany>	<infobox/en/longm>	"23"^^xsd:integer
	<Germany>	<infobox/en/longm>	"23"
	<Germany>	<infobox/en/mapcaption>	<European_Union>
	<Germany>	<infobox/en/mapcaption>	"European Union"
	<Germany>	<infobox/en/nationalanthem>	<Deutschlandlied>
	<Germany>	<infobox/en/nationalanthem>	"The third stanza of "
	<Germany>	<infobox/en/nationalanthem>	"Das Lied der Deutschen"
	<Germany>	<infobox/en/officiallanguages>	<German_language>
	<Germany>	<infobox/en/officiallanguages>	"1"^^xsd:integer
	<Germany>	<infobox/en/officiallanguages>	"German"
	<Germany>	<infobox/en/percentwater>	"2.416"^^xsd:decimal
	<Germany>	<infobox/en/percentwater>	"416-##-##"^^xsd:date
	<Germany>	<infobox/en/populationdensitykm>	"229"^^xsd:integer
	<Germany>	<infobox/en/populationdensitykm>	"229"
	<Germany>	<infobox/en/populationdensitykm>	"229-##-##"^^xsd:date
	<Germany>	<infobox/en/populationdensityrank>	"55"^^xsd:integer
	<Germany>	<infobox/en/populationdensityrank>	"55th"
	<Germany>	<infobox/en/populationdensitysqmi>	"593"^^xsd:integer
	<Germany>	<infobox/en/populationdensitysqmi>	"593"
	<Germany>	<infobox/en/populationdensitysqmi>	"593-##-##"^^xsd:date
	<Germany>	<infobox/en/populationestimate>	"81799.600"^^xsd:decimal
	<Germany>	<infobox/en/populationestimate>	"799-##-##"^^xsd:date
	<Germany>	<infobox/en/populationestimate>	"600-##-##"^^xsd:date
	<Germany>	<infobox/en/populationestimaterank>	"15"^^xsd:integer
	<Germany>	<infobox/en/populationestimaterank>	"15th"
	<Germany>	<infobox/en/populationestimateyear>	"2010"^^xsd:integer
	<Germany>	<infobox/en/populationestimateyear>	"2010"
	<Germany>	<infobox/en/populationestimateyear>	"2010-##-##"^^xsd:date
	<Germany>	<infobox/en/sovereigntytype>	<Kingdom_of_Germany>
	<Germany>	<infobox/en/sovereigntytype>	"Formation"
	<Germany>	<infobox/en/timezone>	"CET"
	<Germany>	<infobox/en/timezonedst>	"CEST"
	<Germany>	<infobox/en/utcoffset>	"1"^^xsd:integer
	<Germany>	<infobox/en/utcoffsetdst>	"2"^^xsd:integer
	<Guido_Westerwelle>	<infobox/en/almamater>	<University_of_Bonn>
	<Guido_Westerwelle>	<infobox/en/almamater>	<FernUniversität_Hagen>
	<Guido_Westerwelle>	<infobox/en/almamater>	"University of Bonn"
	<Guido_Westerwelle>	<infobox/en/almamater>	"Distance University of Hagen"
	<Guido_Westerwelle>	<infobox/en/birthdate>	"1961"^^xsd:integer
	<Guido_Westerwelle>	<infobox/en/birthdate>	"12"^^xsd:integer
	<Guido_Westerwelle>	<infobox/en/birthdate>	"27"^^xsd:integer
	<Guido_Westerwelle>	<infobox/en/birthdate>	"1961-12-27"^^xsd:date
	<Guido_Westerwelle>	<infobox/en/birthplace>	<Bad_Honnef>
	<Guido_Westerwelle>	<infobox/en/birthplace>	<West_Germany>
	<Guido_Westerwelle>	<infobox/en/birthplace>	"Bad Honnef"
	<Guido_Westerwelle>	<infobox/en/birthplace>	"West Germany"
	<Guido_Westerwelle>	<infobox/en/caption>	<Carl_Bildt>
	<Guido_Westerwelle>	<infobox/en/caption>	"2010"^^xsd:integer
